Run	Assay_Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	Experiment	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample_Name	SRA_Study	GEO_Accession_(exp)	BioSampleModel	collected_by	Collection_Date	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Library_Name	source_name	Time	Isolation_source	Strain	Cell_type	host_disease	Host	lat_lon	Donor	stimulus	Condition	Replicate	SAMPLE_TYPE	Isolate	AssemblyName	dangling_references_(run)	Genotype	PHENOTYPE	drug_treatment	TREATMENT
SRR6900300	RNA-Seq	190	2962039848	PRJNA445471	SAMN08792302	1832271660	BROAD_INSTITUTE_OF_MIT_AND_HARVARD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3849325	Illumina_HiSeq_2500	PAIRED	RANDOM	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-03-27T00:00:00Z	B8441_V_4hr_1	SRP136493		Microbe\,_viral_or_environmental	CDC	not_collected	uncalculated	uncalculated	not_collected	Illumina_00011		4_hours	not_applicable	B8441							voriconazole	biological_replicate_1	whole_organism							
SRR6900302	RNA-Seq	187	1939650782	PRJNA445471	SAMN08792304	1235068503	BROAD_INSTITUTE_OF_MIT_AND_HARVARD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3849323	Illumina_HiSeq_2500	PAIRED	RANDOM	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-03-27T00:00:00Z	B11210_A_2hr_1	SRP136493		Microbe\,_viral_or_environmental	CDC	not_collected	uncalculated	uncalculated	not_collected	Illumina_00013		2_hours	not_applicable	B11210							amphotericin_B	biological_replicate_1	whole_organism							
SRR6900303	RNA-Seq	190	2796655780	PRJNA445471	SAMN08792305	1667972398	BROAD_INSTITUTE_OF_MIT_AND_HARVARD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3849322	Illumina_HiSeq_2500	PAIRED	RANDOM	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-03-27T00:00:00Z	B11210_A_2hr_2	SRP136493		Microbe\,_viral_or_environmental	CDC	not_collected	uncalculated	uncalculated	not_collected	Illumina_00014		2_hours	not_applicable	B11210							amphotericin_B	biological_replicate_2	whole_organism							
SRR6900282	RNA-Seq	93	2598950012	PRJNA445471	SAMN08792313	1859116956	BROAD_INSTITUTE_OF_MIT_AND_HARVARD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3849343	Illumina_HiSeq_2500	PAIRED	RANDOM	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-03-27T00:00:00Z	B11210_V_2hr_2	SRP136493		Microbe\,_viral_or_environmental	CDC	not_collected	uncalculated	uncalculated	not_collected	Illumina_00022		2_hours	not_applicable	B11210							voriconazole	biological_replicate_2	whole_organism							
SRR6900284	RNA-Seq	186	1702046026	PRJNA445471	SAMN08792315	1107326082	BROAD_INSTITUTE_OF_MIT_AND_HARVARD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3849341	Illumina_HiSeq_2500	PAIRED	RANDOM	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-03-27T00:00:00Z	B11210_V_4hr_2	SRP136493		Microbe\,_viral_or_environmental	CDC	not_collected	uncalculated	uncalculated	not_collected	Illumina_00024		4_hours	not_applicable	B11210							voriconazole	biological_replicate_2	whole_organism							
SRR6900288	RNA-Seq	190	1726090794	PRJNA445471	SAMN08792294	1045924563	BROAD_INSTITUTE_OF_MIT_AND_HARVARD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3849337	Illumina_HiSeq_2500	PAIRED	RANDOM	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-03-27T00:00:00Z	B8441_A_4hr_1	SRP136493		Microbe\,_viral_or_environmental	CDC	not_collected	uncalculated	uncalculated	not_collected	Illumina_00003		4_hours	not_applicable	B8441							amphotericin_B	biological_replicate_1	whole_organism							
SRR6900291	RNA-Seq	191	3021528400	PRJNA445471	SAMN08792297	1822203136	BROAD_INSTITUTE_OF_MIT_AND_HARVARD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3849334	Illumina_HiSeq_2500	PAIRED	RANDOM	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-03-27T00:00:00Z	B8441_N_2hr_2	SRP136493		Microbe\,_viral_or_environmental	CDC	not_collected	uncalculated	uncalculated	not_collected	Illumina_00006		2_hours	not_applicable	B8441							control	biological_replicate_2	whole_organism							
SRR6900294	RNA-Seq	190	6072906124	PRJNA445471	SAMN08792300	3800753346	BROAD_INSTITUTE_OF_MIT_AND_HARVARD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3849331	Illumina_HiSeq_2000	PAIRED	RANDOM	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-03-27T00:00:00Z	B8441_V_2hr_1	SRP136493		Microbe\,_viral_or_environmental	CDC	not_collected	uncalculated	uncalculated	not_collected	Illumina_00009		2_hours	not_applicable	B8441							voriconazole	biological_replicate_1	whole_organism							
SRR6900296	RNA-Seq	189	2921762804	PRJNA445471	SAMN08792306	1818617365	BROAD_INSTITUTE_OF_MIT_AND_HARVARD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3849329	Illumina_HiSeq_2500	PAIRED	RANDOM	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-03-27T00:00:00Z	B11210_A_4hr_1	SRP136493		Microbe\,_viral_or_environmental	CDC	not_collected	uncalculated	uncalculated	not_collected	Illumina_00015		4_hours	not_applicable	B11210							amphotericin_B	biological_replicate_1	whole_organism							
SRR6900299	RNA-Seq	187	1210819258	PRJNA445471	SAMN08792309	770404822	BROAD_INSTITUTE_OF_MIT_AND_HARVARD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3849326	Illumina_HiSeq_2500	PAIRED	RANDOM	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-03-27T00:00:00Z	B11210_N_2hr_2	SRP136493		Microbe\,_viral_or_environmental	CDC	not_collected	uncalculated	uncalculated	not_collected	Illumina_00018		2_hours	not_applicable	B11210							control	biological_replicate_2	whole_organism							
SRR6900301	RNA-Seq	186	2249340538	PRJNA445471	SAMN08792303	1464841238	BROAD_INSTITUTE_OF_MIT_AND_HARVARD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3849324	Illumina_HiSeq_2500	PAIRED	RANDOM	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-03-27T00:00:00Z	B8441_V_4hr_2	SRP136493		Microbe\,_viral_or_environmental	CDC	not_collected	uncalculated	uncalculated	not_collected	Illumina_00012		4_hours	not_applicable	B8441							voriconazole	biological_replicate_2	whole_organism							
SRR6900304	RNA-Seq	186	1749843358	PRJNA445471	SAMN08792310	1137969814	BROAD_INSTITUTE_OF_MIT_AND_HARVARD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3849321	Illumina_HiSeq_2000	PAIRED	RANDOM	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-03-27T00:00:00Z	B11210_N_4hr_1	SRP136493		Microbe\,_viral_or_environmental	CDC	not_collected	uncalculated	uncalculated	not_collected	Illumina_00019		4_hours	not_applicable	B11210							control	biological_replicate_1	whole_organism							
SRR6900305	RNA-Seq	187	1080549126	PRJNA445471	SAMN08792311	686281184	BROAD_INSTITUTE_OF_MIT_AND_HARVARD	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3849320	Illumina_HiSeq_2500	PAIRED	RANDOM	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-03-27T00:00:00Z	B11210_N_4hr_2	SRP136493		Microbe\,_viral_or_environmental	CDC	not_collected	uncalculated	uncalculated	not_collected	Illumina_00020		4_hours	not_applicable	B11210							control	biological_replicate_2	whole_organism							
SRR7411227	RNA-Seq	50	679442800	PRJNA477447	SAMN09469880	454367663	UNIVERSITY_OF_GLASGOW	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4282785	HiSeq_X_Ten	SINGLE	cDNA	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-06-29T00:00:00Z	NCPF8973	SRP151102		Pathogen.cl	Public_Health_England	2016-01-10	United_Kingdom	Europe	United_Kingdom:_Slough	Plank-3_(38)						Candidiasis	Homo_sapiens	51.5105_N_0.5950_W						NCPF8973						
SRR7411228	RNA-Seq	50	794209600	PRJNA477447	SAMN09469880	398812598	UNIVERSITY_OF_GLASGOW	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4282784	HiSeq_X_Ten	SINGLE	cDNA	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-06-29T00:00:00Z	NCPF8973	SRP151102		Pathogen.cl	Public_Health_England	2016-01-10	United_Kingdom	Europe	United_Kingdom:_Slough	4h-2_(39)						Candidiasis	Homo_sapiens	51.5105_N_0.5950_W						NCPF8973						
SRR7411229	RNA-Seq	50	582041950	PRJNA477447	SAMN09469879	392427079	UNIVERSITY_OF_GLASGOW	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4282783	HiSeq_X_Ten	SINGLE	cDNA	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-06-29T00:00:00Z	NCPF8978	SRP151102		Pathogen.cl	Public_Health_England	2014-06-10	United_Kingdom	Europe	United_Kingdom:_London	24h-2_(34)			Pleural_Fluid			Candidiasis	Homo_sapiens	51.5074_N_0.1277_W						NCPF8978						
SRR7411230	RNA-Seq	50	1231130450	PRJNA477447	SAMN09469879	610716631	UNIVERSITY_OF_GLASGOW	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4282782	HiSeq_X_Ten	SINGLE	cDNA	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-06-29T00:00:00Z	NCPF8978	SRP151102		Pathogen.cl	Public_Health_England	2014-06-10	United_Kingdom	Europe	United_Kingdom:_London	24h-3_(35)			Pleural_Fluid			Candidiasis	Homo_sapiens	51.5074_N_0.1277_W						NCPF8978						
SRR7411231	RNA-Seq	50	1247133500	PRJNA477447	SAMN09469880	614778614	UNIVERSITY_OF_GLASGOW	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4282781	HiSeq_X_Ten	SINGLE	cDNA	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-06-29T00:00:00Z	NCPF8973	SRP151102		Pathogen.cl	Public_Health_England	2016-01-10	United_Kingdom	Europe	United_Kingdom:_Slough	Plank-1_(36)						Candidiasis	Homo_sapiens	51.5105_N_0.5950_W						NCPF8973						
SRR7411232	RNA-Seq	50	1198554300	PRJNA477447	SAMN09469880	592943130	UNIVERSITY_OF_GLASGOW	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4282780	HiSeq_X_Ten	SINGLE	cDNA	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-06-29T00:00:00Z	NCPF8973	SRP151102		Pathogen.cl	Public_Health_England	2016-01-10	United_Kingdom	Europe	United_Kingdom:_Slough	Plank-2_(37)						Candidiasis	Homo_sapiens	51.5105_N_0.5950_W						NCPF8973						
SRR7411233	RNA-Seq	50	673036200	PRJNA477447	SAMN09469879	447670336	UNIVERSITY_OF_GLASGOW	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4282779	HiSeq_X_Ten	SINGLE	cDNA	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-06-29T00:00:00Z	NCPF8978	SRP151102		Pathogen.cl	Public_Health_England	2014-06-10	United_Kingdom	Europe	United_Kingdom:_London	4h-2(29)			Pleural_Fluid			Candidiasis	Homo_sapiens	51.5074_N_0.1277_W						NCPF8978						
SRR7411234	RNA-Seq	50	1031781700	PRJNA477447	SAMN09469879	516352213	UNIVERSITY_OF_GLASGOW	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4282778	HiSeq_X_Ten	SINGLE	cDNA	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-06-29T00:00:00Z	NCPF8978	SRP151102		Pathogen.cl	Public_Health_England	2014-06-10	United_Kingdom	Europe	United_Kingdom:_London	12h-1_(31)			Pleural_Fluid			Candidiasis	Homo_sapiens	51.5074_N_0.1277_W						NCPF8978						
SRR7411235	RNA-Seq	50	1024824600	PRJNA477447	SAMN09469879	509628898	UNIVERSITY_OF_GLASGOW	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4282777	HiSeq_X_Ten	SINGLE	cDNA	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-06-29T00:00:00Z	NCPF8978	SRP151102		Pathogen.cl	Public_Health_England	2014-06-10	United_Kingdom	Europe	United_Kingdom:_London	12h-2_(32)			Pleural_Fluid			Candidiasis	Homo_sapiens	51.5074_N_0.1277_W						NCPF8978						
SRR7411236	RNA-Seq	50	1023585300	PRJNA477447	SAMN09469879	508386710	UNIVERSITY_OF_GLASGOW	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4282776	HiSeq_X_Ten	SINGLE	cDNA	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-06-29T00:00:00Z	NCPF8978	SRP151102		Pathogen.cl	Public_Health_England	2014-06-10	United_Kingdom	Europe	United_Kingdom:_London	12h-3_(33)			Pleural_Fluid			Candidiasis	Homo_sapiens	51.5074_N_0.1277_W						NCPF8978						
SRR7411237	RNA-Seq	50	1250361700	PRJNA477447	SAMN09469879	617781277	UNIVERSITY_OF_GLASGOW	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4282775	HiSeq_X_Ten	SINGLE	cDNA	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-06-29T00:00:00Z	NCPF8978	SRP151102		Pathogen.cl	Public_Health_England	2014-06-10	United_Kingdom	Europe	United_Kingdom:_London	Plank-3_(27)			Pleural_Fluid			Candidiasis	Homo_sapiens	51.5074_N_0.1277_W						NCPF8978						
SRR7411238	RNA-Seq	50	1171411550	PRJNA477447	SAMN09469879	582432707	UNIVERSITY_OF_GLASGOW	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4282774	HiSeq_X_Ten	SINGLE	cDNA	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-06-29T00:00:00Z	NCPF8978	SRP151102		Pathogen.cl	Public_Health_England	2014-06-10	United_Kingdom	Europe	United_Kingdom:_London	4h-1_(28)			Pleural_Fluid			Candidiasis	Homo_sapiens	51.5074_N_0.1277_W						NCPF8978						
SRR7411239	RNA-Seq	50	1133673300	PRJNA477447	SAMN09469879	560925815	UNIVERSITY_OF_GLASGOW	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4282773	HiSeq_X_Ten	SINGLE	cDNA	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-06-29T00:00:00Z	NCPF8978	SRP151102		Pathogen.cl	Public_Health_England	2014-06-10	United_Kingdom	Europe	United_Kingdom:_London	24h-1_(10)			Pleural_Fluid			Candidiasis	Homo_sapiens	51.5074_N_0.1277_W						NCPF8978						
SRR7411240	RNA-Seq	50	757082550	PRJNA477447	SAMN09469880	375537034	UNIVERSITY_OF_GLASGOW	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4282772	HiSeq_X_Ten	SINGLE	cDNA	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-06-29T00:00:00Z	NCPF8973	SRP151102		Pathogen.cl	Public_Health_England	2016-01-10	United_Kingdom	Europe	United_Kingdom:_Slough	4h-1_(17)						Candidiasis	Homo_sapiens	51.5105_N_0.5950_W						NCPF8973						
SRR7411241	RNA-Seq	50	394947200	PRJNA477447	SAMN09469880	265990665	UNIVERSITY_OF_GLASGOW	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4282771	HiSeq_X_Ten	SINGLE	cDNA	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-06-29T00:00:00Z	NCPF8973	SRP151102		Pathogen.cl	Public_Health_England	2016-01-10	United_Kingdom	Europe	United_Kingdom:_Slough	12h-1_(20)						Candidiasis	Homo_sapiens	51.5105_N_0.5950_W						NCPF8973						
SRR7411242	RNA-Seq	50	1042238450	PRJNA477447	SAMN09469880	514301365	UNIVERSITY_OF_GLASGOW	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4282770	HiSeq_X_Ten	SINGLE	cDNA	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-06-29T00:00:00Z	NCPF8973	SRP151102		Pathogen.cl	Public_Health_England	2016-01-10	United_Kingdom	Europe	United_Kingdom:_Slough	24h-_1_(22)						Candidiasis	Homo_sapiens	51.5105_N_0.5950_W						NCPF8973						
SRR7411243	RNA-Seq	50	688577200	PRJNA477447	SAMN09469880	345249456	UNIVERSITY_OF_GLASGOW	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4282769	HiSeq_X_Ten	SINGLE	cDNA	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-06-29T00:00:00Z	NCPF8973	SRP151102		Pathogen.cl	Public_Health_England	2016-01-10	United_Kingdom	Europe	United_Kingdom:_Slough	24h-2_(23)						Candidiasis	Homo_sapiens	51.5105_N_0.5950_W						NCPF8973						
SRR7411244	RNA-Seq	50	723521650	PRJNA477447	SAMN09469880	363319950	UNIVERSITY_OF_GLASGOW	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4282768	HiSeq_X_Ten	SINGLE	cDNA	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-06-29T00:00:00Z	NCPF8973	SRP151102		Pathogen.cl	Public_Health_England	2016-01-10	United_Kingdom	Europe	United_Kingdom:_Slough	24h-3_(24)						Candidiasis	Homo_sapiens	51.5105_N_0.5950_W						NCPF8973						
SRR7411245	RNA-Seq	50	679078650	PRJNA477447	SAMN09469879	454176682	UNIVERSITY_OF_GLASGOW	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4282767	HiSeq_X_Ten	SINGLE	cDNA	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-06-29T00:00:00Z	NCPF8978	SRP151102		Pathogen.cl	Public_Health_England	2014-06-10	United_Kingdom	Europe	United_Kingdom:_London	Plank-1_(25)			Pleural_Fluid			Candidiasis	Homo_sapiens	51.5074_N_0.1277_W						NCPF8978						
SRR7411246	RNA-Seq	50	1081400050	PRJNA477447	SAMN09469879	536088248	UNIVERSITY_OF_GLASGOW	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4282766	HiSeq_X_Ten	SINGLE	cDNA	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-06-29T00:00:00Z	NCPF8978	SRP151102		Pathogen.cl	Public_Health_England	2014-06-10	United_Kingdom	Europe	United_Kingdom:_London	Plank-2_(26)			Pleural_Fluid			Candidiasis	Homo_sapiens	51.5074_N_0.1277_W						NCPF8978						
SRR7411247	RNA-Seq	50	1178222750	PRJNA477447	SAMN09469880	581856440	UNIVERSITY_OF_GLASGOW	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4282765	HiSeq_X_Ten	SINGLE	cDNA	TRANSCRIPTOMIC	[Candida]_auris	ILLUMINA	2018-06-29T00:00:00Z	NCPF8973	SRP151102		Pathogen.cl	Public_Health_England	2016-01-10	United_Kingdom	Europe	United_Kingdom:_Slough	12-3_(42						Candidiasis	Homo_sapiens	51.5105_N_0.5950_W						NCPF8973						
