AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	DATASTORE_provider	DATASTORE_region	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	collection_date	host	source_name	strain	type_material	Assay_Type	Consent	DATASTORE_filetype	LibrarySource
102	PRJNA299815	SAMN04216035		GEO	sra-sos	sra-sos.public	SRX1383998	0	Illumina HiSeq 2500	PAIRED	cDNA		2015-10-26	1739	1178	[Candida] glabrata	ILLUMINA	2015-12-15	SRR2817439	SRS1134718	SRP065276	GSM1918930			C. glabrata RNA	SFY114		RNA-Seq	public	sra	TRANSCRIPTOMIC
102	PRJNA299815	SAMN04216036		GEO	sra-sos	sra-sos.public	SRX1383999	0	Illumina HiSeq 2500	PAIRED	cDNA		2015-10-26	1870	1271	[Candida] glabrata	ILLUMINA	2015-12-15	SRR2817440	SRS1134717	SRP065276	GSM1918931			C. glabrata RNA	SFY114		RNA-Seq	public	sra	TRANSCRIPTOMIC
102	PRJNA299815	SAMN04216037		GEO	ncbi		SRX1384000	0	Illumina HiSeq 2500	PAIRED	cDNA		2015-10-26	1777	1197	[Candida] glabrata	ILLUMINA	2015-12-15	SRR2817441	SRS1134716	SRP065276	GSM1918932			C. glabrata RNA	SFY114		RNA-Seq	public	sra	TRANSCRIPTOMIC
49	PRJNA306939	SAMN04370242		GEO	ncbi		SRX1502194	0	Illumina HiSeq 2000	SINGLE	cDNA		2015-12-24	550	357	[Candida] glabrata	ILLUMINA	2017-05-24	SRR3055253	SRS1223464	SRP067778	GSM1981429			C. glabrata cells	YC9 (CBS138)		RNA-Seq	public	sra	TRANSCRIPTOMIC
49	PRJNA306939	SAMN04370243		GEO	ncbi		SRX1502195	0	Illumina HiSeq 2000	SINGLE	cDNA		2015-12-24	563	366	[Candida] glabrata	ILLUMINA	2017-05-24	SRR3055254	SRS1223463	SRP067778	GSM1981430			C. glabrata cells	YSJ4		RNA-Seq	public	sra	TRANSCRIPTOMIC
200	PRJNA309480	SAMN04435261	Microbe, viral or environmental	JIANGNAN UNIVERSITY,WUXI, CHINA	sra-sos	sra-sos.public	SRX1542155	120	Illumina HiSeq 2500	PAIRED	RT-PCR	RNAseq of Candida glabrata under acidic conditions	2016-01-26	4291	1672	[Candida] glabrata	ILLUMINA	2016-01-27	SRR3114170	SRS1258652	SRP068794	WT-6.0	Sep-2015	Homo sapiens		Candida glabrata ATCC 55		RNA-Seq	public	sra	TRANSCRIPTOMIC
200	PRJNA309480	SAMN04435262	Microbe, viral or environmental	JIANGNAN UNIVERSITY,WUXI, CHINA	sra-sos	sra-sos.public	SRX1542171	120	Illumina HiSeq 2500	PAIRED	RT-PCR	RNAseq of Candida glabrata under acidic conditions	2016-01-26	4298	1694	[Candida] glabrata	ILLUMINA	2016-01-27	SRR3114172	SRS1258668	SRP068794	WT-2.0	Sep-2015	Homo sapiens		Candida glabrata ATCC 55		RNA-Seq	public	sra	TRANSCRIPTOMIC
200	PRJNA309480	SAMN04435263	Microbe, viral or environmental	JIANGNAN UNIVERSITY,WUXI, CHINA	sra-sos	sra-sos.public	SRX1542172	120	Illumina HiSeq 2500	PAIRED	RT-PCR	RNAseq of Candida glabrata under acidic conditions	2016-01-26	4289	1673	[Candida] glabrata	ILLUMINA	2016-02-01	SRR3114173	SRS1258669	SRP068794	Cgcrz1-6.0	Sep-2015	Homo sapiens		Candida glabrata gene CgCRZ1 deletion strain		RNA-Seq	public	sra	TRANSCRIPTOMIC
200	PRJNA309480	SAMN04435264	Microbe, viral or environmental	JIANGNAN UNIVERSITY,WUXI, CHINA	sra-sos	sra-sos.public	SRX1542173	120	Illumina HiSeq 2500	PAIRED	RT-PCR	RNAseq of Candida glabrata under acidic conditions	2016-01-26	4300	1699	[Candida] glabrata	ILLUMINA	2016-02-01	SRR3114174	SRS1258670	SRP068794	Cgcrz1-2.0	Sep-2015	Homo sapiens		Candida glabrata gene CgCRZ1 deletion strain		RNA-Seq	public	sra	TRANSCRIPTOMIC
50	PRJNA339934	SAMN05615460		GEO	ncbi		SRX2042246	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-08-24	1654	1128	[Candida] glabrata	ILLUMINA	2017-07-19	SRR4052682	SRS1635052	SRP082677	GSM2290142			BG2_young_whole cell	BG2		RNA-Seq	public	sra	TRANSCRIPTOMIC
50	PRJNA339934	SAMN05615459		GEO	ncbi		SRX2042247	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-08-24	1354	932	[Candida] glabrata	ILLUMINA	2017-07-19	SRR4052683	SRS1635053	SRP082677	GSM2290143			BG2_young_whole cell	BG2		RNA-Seq	public	sra	TRANSCRIPTOMIC
50	PRJNA339934	SAMN05615458		GEO	ncbi		SRX2042248	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-08-24	1773	1208	[Candida] glabrata	ILLUMINA	2017-07-19	SRR4052684	SRS1635054	SRP082677	GSM2290144			BG2_young_whole cell	BG2		RNA-Seq	public	sra	TRANSCRIPTOMIC
50	PRJNA339934	SAMN05615457		GEO	ncbi		SRX2042249	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-08-24	1916	1297	[Candida] glabrata	ILLUMINA	2017-07-19	SRR4052685	SRS1635055	SRP082677	GSM2290145			BG2_old_whole cell	BG2		RNA-Seq	public	sra	TRANSCRIPTOMIC
50	PRJNA339934	SAMN05615456		GEO	ncbi		SRX2042250	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-08-24	1813	1236	[Candida] glabrata	ILLUMINA	2017-07-19	SRR4052686	SRS1635056	SRP082677	GSM2290146			BG2_old_whole cell	BG2		RNA-Seq	public	sra	TRANSCRIPTOMIC
50	PRJNA339934	SAMN05615455		GEO	ncbi		SRX2042251	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-08-24	1743	1192	[Candida] glabrata	ILLUMINA	2017-07-19	SRR4052687	SRS1635057	SRP082677	GSM2290147			BG2_old_whole cell	BG2		RNA-Seq	public	sra	TRANSCRIPTOMIC
101	PRJNA374632	SAMN06329871	Pathogen.cl	UNIVERSITY OF LAUSANNE	ncbi		SRX2598571	0	Illumina HiSeq 2000	SINGLE	RANDOM PCR	119c	2017-02-28	2057	738	[Candida] glabrata	ILLUMINA	2017-06-28	SRR5296197	SRS2006087	SRP100842	DSY565-RNAseq	July-1995	Homo sapiens				RNA-Seq	public	sra	TRANSCRIPTOMIC
101	PRJNA374632	SAMN06329871	Pathogen.cl	UNIVERSITY OF LAUSANNE	ncbi		SRX2598572	0	Illumina HiSeq 2000	SINGLE	RANDOM PCR	119b	2017-02-28	2186	782	[Candida] glabrata	ILLUMINA	2017-06-28	SRR5296198	SRS2006087	SRP100842	DSY565-RNAseq	July-1995	Homo sapiens				RNA-Seq	public	sra	TRANSCRIPTOMIC
101	PRJNA374632	SAMN06329871	Pathogen.cl	UNIVERSITY OF LAUSANNE	ncbi		SRX2598573	0	Illumina HiSeq 2000	SINGLE	RANDOM PCR	119a	2017-02-28	2068	742	[Candida] glabrata	ILLUMINA	2017-06-28	SRR5296199	SRS2006087	SRP100842	DSY565-RNAseq	July-1995	Homo sapiens				RNA-Seq	public	sra	TRANSCRIPTOMIC
101	PRJNA374632	SAMN06329870	Pathogen.cl	UNIVERSITY OF LAUSANNE	ncbi		SRX2598574	0	Illumina HiSeq 2000	SINGLE	RANDOM PCR	114c	2017-02-28	1607	573	[Candida] glabrata	ILLUMINA	2017-06-28	SRR5296200	SRS2006088	SRP100842	DSY562-RNAseq	May-1995	Homo sapiens				RNA-Seq	public	sra	TRANSCRIPTOMIC
101	PRJNA374632	SAMN06329870	Pathogen.cl	UNIVERSITY OF LAUSANNE	ncbi		SRX2598575	0	Illumina HiSeq 2000	SINGLE	RANDOM PCR	114b	2017-02-28	1922	689	[Candida] glabrata	ILLUMINA	2017-06-28	SRR5296201	SRS2006088	SRP100842	DSY562-RNAseq	May-1995	Homo sapiens				RNA-Seq	public	sra	TRANSCRIPTOMIC
101	PRJNA374632	SAMN06329870	Pathogen.cl	UNIVERSITY OF LAUSANNE	ncbi		SRX2598576	0	Illumina HiSeq 2000	SINGLE	RANDOM PCR	114a	2017-02-28	1867	672	[Candida] glabrata	ILLUMINA	2017-06-28	SRR5296202	SRS2006088	SRP100842	DSY562-RNAseq	May-1995	Homo sapiens				RNA-Seq	public	sra	TRANSCRIPTOMIC
51	PRJNA382954	SAMN06756847		GEO	ncbi		SRX2737311	0	Illumina HiSeq 2000	SINGLE	cDNA		2017-04-14	834	571	[Candida] glabrata	ILLUMINA	2017-04-18	SRR5448444	SRS2124614	SRP103930	GSM2577593			OD600=0.3~0.5 log-phase yeast culture			RNA-Seq	public	sra	TRANSCRIPTOMIC
51	PRJNA382954	SAMN06756846		GEO	ncbi		SRX2737312	0	Illumina HiSeq 2000	SINGLE	cDNA		2017-04-14	626	432	[Candida] glabrata	ILLUMINA	2017-04-18	SRR5448445	SRS2124820	SRP103930	GSM2577594			OD600=0.3~0.5 log-phase yeast culture			RNA-Seq	public	sra	TRANSCRIPTOMIC
51	PRJNA382954	SAMN06756845		GEO	ncbi		SRX2737313	0	Illumina HiSeq 2000	SINGLE	cDNA		2017-04-14	720	494	[Candida] glabrata	ILLUMINA	2017-04-18	SRR5448446	SRS2124616	SRP103930	GSM2577595			OD600=0.3~0.5 log-phase yeast culture			RNA-Seq	public	sra	TRANSCRIPTOMIC
51	PRJNA382954	SAMN06756844		GEO	ncbi		SRX2737314	0	Illumina HiSeq 2000	SINGLE	cDNA		2017-04-14	564	386	[Candida] glabrata	ILLUMINA	2017-04-18	SRR5448447	SRS2124613	SRP103930	GSM2577596			OD600=0.3~0.5 log-phase yeast culture			RNA-Seq	public	sra	TRANSCRIPTOMIC
50	PRJNA382954	SAMN06756843		GEO	ncbi		SRX2737315	0	Illumina HiSeq 2000	SINGLE	cDNA		2017-04-14	320	201	[Candida] glabrata	ILLUMINA	2017-04-18	SRR5448448	SRS2124612	SRP103930	GSM2577597			OD600=0.3~0.5 log-phase yeast culture			RNA-Seq	public	sra	TRANSCRIPTOMIC
50	PRJNA382954	SAMN06756842		GEO	ncbi		SRX2737316	0	Illumina HiSeq 2000	SINGLE	cDNA		2017-04-14	461	290	[Candida] glabrata	ILLUMINA	2017-04-18	SRR5448449	SRS2124615	SRP103930	GSM2577598			OD600=0.3~0.5 log-phase yeast culture			RNA-Seq	public	sra	TRANSCRIPTOMIC
51	PRJNA382954	SAMN06756841		GEO	ncbi		SRX2737317	0	Illumina HiSeq 2000	SINGLE	cDNA		2017-04-14	686	469	[Candida] glabrata	ILLUMINA	2017-04-18	SRR5448450	SRS2124621	SRP103930	GSM2577599			OD600=0.3~0.5 log-phase yeast culture			RNA-Seq	public	sra	TRANSCRIPTOMIC
51	PRJNA382954	SAMN06756840		GEO	ncbi		SRX2737318	0	Illumina HiSeq 2000	SINGLE	cDNA		2017-04-14	471	328	[Candida] glabrata	ILLUMINA	2017-04-18	SRR5448451	SRS2124618	SRP103930	GSM2577600			OD600=0.3~0.5 log-phase yeast culture			RNA-Seq	public	sra	TRANSCRIPTOMIC
100	PRJNA432191	SAMN08438871	Microbe, viral or environmental	VILLANOVA UNIVERSITY	ncbi		SRX3636512	0	Illumina HiSeq 2000	PAIRED	RANDOM	thiamine treatment3	2018-01-31	4378	2721	[Candida] glabrata CBS 138	ILLUMINA	2018-01-31	SRR6659380	SRS2903015	SRP131893	thiamine treatment3	Feb-2013	not applicable		BG99		RNA-Seq	public	sra	TRANSCRIPTOMIC
100	PRJNA432191	SAMN08438872	Microbe, viral or environmental	VILLANOVA UNIVERSITY	ncbi		SRX3636511	0	Illumina HiSeq 2000	PAIRED	RANDOM	thiamine treatment4	2018-01-31	3790	2368	[Candida] glabrata CBS 138	ILLUMINA	2018-01-31	SRR6659381	SRS2903014	SRP131893	thiamine treatment4	Feb-2013	not applicable		BG99		RNA-Seq	public	sra	TRANSCRIPTOMIC
100	PRJNA432191	SAMN08438869	Microbe, viral or environmental	VILLANOVA UNIVERSITY	ncbi		SRX3636510	0	Illumina HiSeq 2000	PAIRED	RANDOM	thiamine treatment1	2018-01-31	4421	2757	[Candida] glabrata CBS 138	ILLUMINA	2018-01-31	SRR6659382	SRS2903012	SRP131893	thiamine treatment1	Feb-2013	not applicable		BG99		RNA-Seq	public	sra	TRANSCRIPTOMIC
100	PRJNA432191	SAMN08438870	Microbe, viral or environmental	VILLANOVA UNIVERSITY	ncbi		SRX3636509	0	Illumina HiSeq 2000	PAIRED	RANDOM	thiamine treatment2	2018-01-31	5367	3345	[Candida] glabrata CBS 138	ILLUMINA	2018-01-31	SRR6659383	SRS2903013	SRP131893	thiamine treatment2	Feb-2013	not applicable		BG99		RNA-Seq	public	sra	TRANSCRIPTOMIC
100	PRJNA432191	SAMN08438873	Microbe, viral or environmental	VILLANOVA UNIVERSITY	ncbi		SRX3636508	0	Illumina HiSeq 2000	PAIRED	RANDOM	thiamine treatment5	2018-01-31	5224	3259	[Candida] glabrata CBS 138	ILLUMINA	2018-01-31	SRR6659384	SRS2903011	SRP131893	thiamine treatment5	Feb-2013	not applicable		BG99		RNA-Seq	public	sra	TRANSCRIPTOMIC
100	PRJNA432191	SAMN08438874	Microbe, viral or environmental	VILLANOVA UNIVERSITY	ncbi		SRX3636507	0	Illumina HiSeq 2000	PAIRED	RANDOM	thiamine treatment6	2018-01-31	4302	2682	[Candida] glabrata CBS 138	ILLUMINA	2018-01-31	SRR6659385	SRS2903016	SRP131893	thiamine treatment6	Feb-2013	not applicable		BG99		RNA-Seq	public	sra	TRANSCRIPTOMIC
51	PRJNA467612	SAMN09091356		GEO	ncbi		SRX4053916	0	Illumina HiSeq 2500	SINGLE	cDNA		2018-05-08	5432	3871	[Candida] glabrata	ILLUMINA	2018-12-27	SRR7132934	SRS3270896	SRP144955	GSM3136897			whole blood, all			RNA-Seq	public	sra	TRANSCRIPTOMIC
51	PRJNA467612	SAMN09091355		GEO	ncbi		SRX4053917	0	Illumina HiSeq 2500	SINGLE	cDNA		2018-05-08	10672	5637	[Candida] glabrata	ILLUMINA	2018-12-27	SRR7132935	SRS3270897	SRP144955	GSM3136898			whole blood, all			RNA-Seq	public	sra	TRANSCRIPTOMIC
51	PRJNA467612	SAMN09091354		GEO	ncbi		SRX4053918	0	Illumina HiSeq 2500	SINGLE	cDNA		2018-05-08	5940	4568	[Candida] glabrata	ILLUMINA	2018-12-27	SRR7132936	SRS3270898	SRP144955	GSM3136899			whole blood, all			RNA-Seq	public	sra	TRANSCRIPTOMIC
51	PRJNA467612	SAMN09091353		GEO	ncbi		SRX4053919	0	Illumina HiSeq 2500	SINGLE	cDNA		2018-05-08	5128	3684	[Candida] glabrata	ILLUMINA	2018-12-27	SRR7132937	SRS3270901	SRP144955	GSM3136900			whole blood, all			RNA-Seq	public	sra	TRANSCRIPTOMIC
51	PRJNA467612	SAMN09091352		GEO	ncbi		SRX4053920	0	Illumina HiSeq 2500	SINGLE	cDNA		2018-05-08	4942	3549	[Candida] glabrata	ILLUMINA	2018-12-27	SRR7132938	SRS3270899	SRP144955	GSM3136901			whole blood, all			RNA-Seq	public	sra	TRANSCRIPTOMIC
51	PRJNA467612	SAMN09091351		GEO	ncbi		SRX4053921	0	Illumina HiSeq 2500	SINGLE	cDNA		2018-05-08	4979	3606	[Candida] glabrata	ILLUMINA	2018-12-27	SRR7132939	SRS3270900	SRP144955	GSM3136902			whole blood, all			RNA-Seq	public	sra	TRANSCRIPTOMIC
