Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	Center_Name	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	ENA_FIRST_PUBLIC	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	analysis_type	flowcell_barcode	genotype	gssr_id	instrument_name	lane	lsid	product_order	product_part_number	project	read_group_id	research_project	root_sample_id	run_barcode	run_name	sample_id	source_name	strain	work_request	Consent	LibrarySource
RNA-Seq		202	PRJNA86065	SAMN00793086	UMIGS	sra	sra-sos	sra-sos.public		SRX124502	0	Illumina HiSeq 2000	PAIRED	RANDOM	IL100018311	2012-08-11	5666	3938	Candida albicans WO-1	ILLUMINA	2012-02-29	SRR423954	SRS295700	SRP011085	CAHS_43																				public	TRANSCRIPTOMIC
RNA-Seq		202	PRJNA86065	SAMN00793086	UMIGS	sra	sra-sos	sra-sos.public		SRX132003	0	Illumina HiSeq 2000	PAIRED	RANDOM	IL100020527	2012-08-11	3188	1980	Candida albicans WO-1	ILLUMINA	2012-03-29	SRR449429	SRS295700	SRP011085	CAHS_43																				public	TRANSCRIPTOMIC
RNA-Seq		202	PRJNA86065	SAMN00793088	UMIGS	sra	sra-sos	sra-sos.public		SRX124504	0	Illumina HiSeq 2000	PAIRED	RANDOM	IL100018312	2012-08-11	7408	5149	Candida albicans WO-1	ILLUMINA	2012-02-29	SRR423956	SRS295702	SRP011085	CAHS_45																				public	TRANSCRIPTOMIC
RNA-Seq		202	PRJNA86065	SAMN00793091	UMIGS	sra	ncbi			SRX124507	0	Illumina HiSeq 2000	PAIRED	RANDOM	IL100018313	2012-08-11	6767	4714	Candida albicans WO-1	ILLUMINA	2012-02-29	SRR423959	SRS295705	SRP011085	CAHS_48																				public	TRANSCRIPTOMIC
RNA-Seq		202	PRJNA86065	SAMN00793093	UMIGS	sra	sra-sos	sra-sos.public		SRX124509	0	Illumina HiSeq 2000	PAIRED	RANDOM	IL100018314	2012-08-11	7778	5414	Candida albicans WO-1	ILLUMINA	2012-02-29	SRR423961	SRS295707	SRP011085	CAHS_50																				public	TRANSCRIPTOMIC
RNA-Seq		202	PRJNA86065	SAMN00793095	UMIGS	sra	sra-sos	sra-sos.public		SRX124511	0	Illumina HiSeq 2000	PAIRED	RANDOM	IL100018315	2012-08-11	8358	5825	Candida albicans WO-1	ILLUMINA	2012-02-29	SRR424180	SRS295709	SRP011085	CAHS_52																				public	TRANSCRIPTOMIC
RNA-Seq		202	PRJNA86065	SAMN00793095	UMIGS	sra	sra-sos	sra-sos.public		SRX132004	0	Illumina HiSeq 2000	PAIRED	RANDOM	IL100020886_20120208	2012-08-11	2582	1671	Candida albicans WO-1	ILLUMINA	2012-03-29	SRR449430	SRS295709	SRP011085	CAHS_52																				public	TRANSCRIPTOMIC
RNA-Seq		202	PRJNA86065	SAMN00794410	UMIGS	sra	sra-sos	sra-sos.public		SRX124620	0	Illumina HiSeq 2000	PAIRED	RANDOM	IL100015284	2012-08-11	8389	6107	Candida albicans SC5314	ILLUMINA	2012-03-01	SRR424346	SRS295767	SRP011085	CAHS_1																				public	TRANSCRIPTOMIC
RNA-Seq		202	PRJNA86065	SAMN00794411	UMIGS	sra	sra-sos	sra-sos.public		SRX124621	0	Illumina HiSeq 2000	PAIRED	RANDOM	IL100015285	2012-08-11	7912	5742	Candida albicans SC5314	ILLUMINA	2012-03-01	SRR424348	SRS295768	SRP011085	CAHS_3																				public	TRANSCRIPTOMIC
RNA-Seq		202	PRJNA86065	SAMN00794415	UMIGS	sra	ncbi			SRX124664	0	Illumina HiSeq 2000	PAIRED	RANDOM	IL100015286	2012-08-11	7790	5633	Candida albicans SC5314	ILLUMINA	2012-03-01	SRR424571	SRS295772	SRP011085	CAHS_5																				public	TRANSCRIPTOMIC
RNA-Seq		202	PRJNA86065	SAMN00794418	UMIGS	sra	sra-sos	sra-sos.public		SRX124667	0	Illumina HiSeq 2000	PAIRED	RANDOM	IL100015287	2012-08-11	8153	5948	Candida albicans SC5314	ILLUMINA	2012-03-01	SRR424574	SRS295775	SRP011085	CAHS_8																				public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA82889	SAMN00828708	BI	sra	sra-sos	sra-sos.public		SRX131007	326	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-88110	2012-04-18	1693	797	Candida albicans SC5314	ILLUMINA	2012-03-22	SRR447599	SRS300609	SRP011482	PRJNA82889.Candida_albicans_SC5314_Serum		D0N3HACXX		169695.0	SL-HAQ	8	broadinstitute.org:bsp.prod.sample:2NC58			G17038	D0N3H.8		SM-2IFCV	D0N3HACXX120305	120305_SL-HAQ_0190_AFCD0N3HACXX	SM-2NC58		SC5314	29004	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA82889	SAMN00828708	BI	sra	sra-sos	sra-sos.public		SRX129847	326	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-88110	2012-04-20	1862	892	Candida albicans SC5314	ILLUMINA	2012-04-20	SRR489763	SRS300609	SRP011482	PRJNA82889.Candida_albicans_SC5314_Serum		D0N2CACXX		169695.0	SL-HAW	6	broadinstitute.org:bsp.prod.sample:2NC58			G17038	D0N2C.6		SM-2IFCV	D0N2CACXX120229	120229_SL-HAW_0168_AFCD0N2CACXX	SM-2NC58		SC5314	29004	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA82889	SAMN00828708	BI	sra	sra-sos	sra-sos.public		SRX129847	326	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-88110	2012-04-20	1850	887	Candida albicans SC5314	ILLUMINA	2012-04-20	SRR489771	SRS300609	SRP011482	PRJNA82889.Candida_albicans_SC5314_Serum		D0N2CACXX		169695.0	SL-HAW	7	broadinstitute.org:bsp.prod.sample:2NC58			G17038	D0N2C.7		SM-2IFCV	D0N2CACXX120229	120229_SL-HAW_0168_AFCD0N2CACXX	SM-2NC58		SC5314	29004	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA82889	SAMN00828708	BI	sra	sra-sos	sra-sos.public		SRX129847	326	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-88110	2012-04-21	1857	888	Candida albicans SC5314	ILLUMINA	2012-04-20	SRR489785	SRS300609	SRP011482	PRJNA82889.Candida_albicans_SC5314_Serum		D0N2CACXX		169695.0	SL-HAW	8	broadinstitute.org:bsp.prod.sample:2NC58			G17038	D0N2C.8		SM-2IFCV	D0N2CACXX120229	120229_SL-HAW_0168_AFCD0N2CACXX	SM-2NC58		SC5314	29004	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA82889	SAMN00828712	BI	sra	sra-sos	sra-sos.public		SRX131016	326	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-88113	2012-04-18	1677	789	Candida albicans SC5314	ILLUMINA	2012-03-22	SRR447608	SRS300613	SRP011482	PRJNA82889.Candida_albicans_SC5314_Spider		D0N3HACXX		169688.0	SL-HAQ	8	broadinstitute.org:bsp.prod.sample:2NC51			G17031	D0N3H.8		SM-2IFCO	D0N3HACXX120305	120305_SL-HAQ_0190_AFCD0N3HACXX	SM-2NC51		SC5314	29004	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA82889	SAMN00828712	BI	sra	sra-sos	sra-sos.public		SRX129851	326	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-88113	2012-04-20	1796	860	Candida albicans SC5314	ILLUMINA	2012-04-20	SRR489766	SRS300613	SRP011482	PRJNA82889.Candida_albicans_SC5314_Spider		D0N2CACXX		169688.0	SL-HAW	6	broadinstitute.org:bsp.prod.sample:2NC51			G17031	D0N2C.6		SM-2IFCO	D0N2CACXX120229	120229_SL-HAW_0168_AFCD0N2CACXX	SM-2NC51		SC5314	29004	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA82889	SAMN00828712	BI	sra	sra-sos	sra-sos.public		SRX129851	326	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-88113	2012-04-20	1816	870	Candida albicans SC5314	ILLUMINA	2012-04-20	SRR489772	SRS300613	SRP011482	PRJNA82889.Candida_albicans_SC5314_Spider		D0N2CACXX		169688.0	SL-HAW	7	broadinstitute.org:bsp.prod.sample:2NC51			G17031	D0N2C.7		SM-2IFCO	D0N2CACXX120229	120229_SL-HAW_0168_AFCD0N2CACXX	SM-2NC51		SC5314	29004	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA82889	SAMN00828712	BI	sra	sra-sos	sra-sos.public		SRX129851	326	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-88113	2012-05-28	1813	867	Candida albicans SC5314	ILLUMINA	2012-05-27	SRR501096	SRS300613	SRP011482	PRJNA82889.Candida_albicans_SC5314_Spider		D0N2CACXX		169688.0	SL-HAW	8	broadinstitute.org:bsp.prod.sample:2NC51			G17031	D0N2C.8		SM-2IFCO	D0N2CACXX120229	120229_SL-HAW_0168_AFCD0N2CACXX	SM-2NC51		SC5314	29004	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA82889	SAMN00828724	BI	sra	sra-sos	sra-sos.public		SRX131011	326	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-88115	2012-04-18	1736	824	Candida albicans SC5314	ILLUMINA	2012-03-22	SRR447603	SRS300625	SRP011482	PRJNA82889.Candida_albicans_SC5314_YPD		D0N3HACXX		169681.0	SL-HAQ	8	broadinstitute.org:bsp.prod.sample:2NC4T			G17024	D0N3H.8		SM-2IFCH	D0N3HACXX120305	120305_SL-HAQ_0190_AFCD0N3HACXX	SM-2NC4T		SC5314	29004	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA82889	SAMN00828724	BI	sra	sra-sos	sra-sos.public		SRX129863	326	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-88115	2012-04-20	1899	917	Candida albicans SC5314	ILLUMINA	2012-04-20	SRR489760	SRS300625	SRP011482	PRJNA82889.Candida_albicans_SC5314_YPD		D0N2CACXX		169681.0	SL-HAW	6	broadinstitute.org:bsp.prod.sample:2NC4T			G17024	D0N2C.6		SM-2IFCH	D0N2CACXX120229	120229_SL-HAW_0168_AFCD0N2CACXX	SM-2NC4T		SC5314	29004	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA82889	SAMN00828724	BI	sra	sra-sos	sra-sos.public		SRX129863	326	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-88115	2012-04-20	1880	909	Candida albicans SC5314	ILLUMINA	2012-04-20	SRR489773	SRS300625	SRP011482	PRJNA82889.Candida_albicans_SC5314_YPD		D0N2CACXX		169681.0	SL-HAW	7	broadinstitute.org:bsp.prod.sample:2NC4T			G17024	D0N2C.7		SM-2IFCH	D0N2CACXX120229	120229_SL-HAW_0168_AFCD0N2CACXX	SM-2NC4T		SC5314	29004	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA82889	SAMN00828724	BI	sra	sra-sos	sra-sos.public		SRX129863	326	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-88115	2012-05-28	1886	909	Candida albicans SC5314	ILLUMINA	2012-05-27	SRR501091	SRS300625	SRP011482	PRJNA82889.Candida_albicans_SC5314_YPD		D0N2CACXX		169681.0	SL-HAW	8	broadinstitute.org:bsp.prod.sample:2NC4T			G17024	D0N2C.8		SM-2IFCH	D0N2CACXX120229	120229_SL-HAW_0168_AFCD0N2CACXX	SM-2NC4T		SC5314	29004	public	TRANSCRIPTOMIC
RNA-Seq		79	PRJNA162887	SAMN00990512	GEO	sra	sra-sos	sra-sos.public		SRX145373	0	Illumina Genome Analyzer IIx	SINGLE	cDNA	GSM925469: RCA1 mutant, replicate 1	2012-08-12	2148	1318	Candida albicans	ILLUMINA	2012-05-03	SRR492976	SRS311698	SRP012583	GSM925469																	mid exponential growth-phase culture in YEPD			public	TRANSCRIPTOMIC
RNA-Seq		79	PRJNA162887	SAMN00990513	GEO	sra	sra-sos	sra-sos.public		SRX145374	0	Illumina Genome Analyzer IIx	SINGLE	cDNA	GSM925470: RCA1 mutant, replicate 2	2012-08-12	2301	1391	Candida albicans	ILLUMINA	2012-05-03	SRR492977	SRS311699	SRP012583	GSM925470																	mid exponential growth-phase culture in YEPD			public	TRANSCRIPTOMIC
RNA-Seq		79	PRJNA162887	SAMN00990514	GEO	sra	sra-sos	sra-sos.public		SRX145375	0	Illumina Genome Analyzer IIx	SINGLE	cDNA	GSM925471: RCA1 revertant replicate 1	2012-08-12	2734	1680	Candida albicans	ILLUMINA	2012-05-03	SRR492978	SRS311700	SRP012583	GSM925471																	mid exponential growth-phase culture in YEPD			public	TRANSCRIPTOMIC
RNA-Seq		79	PRJNA162887	SAMN00990515	GEO	sra	sra-sos	sra-sos.public		SRX145376	0	Illumina Genome Analyzer IIx	SINGLE	cDNA	GSM925472: RCA1 revertant replicate 2	2012-08-12	2058	1220	Candida albicans	ILLUMINA	2012-05-03	SRR492979	SRS311701	SRP012583	GSM925472																	mid exponential growth-phase culture in YEPD			public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA75215	SAMN00991508	BI	sra	sra-sos	sra-sos.public		SRX131023	326	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-88118	2012-04-18	1692	805	Candida albicans P87	ILLUMINA	2012-03-22	SRR447615	SRS332128	SRP022200	PRJNA193498.Candida_albicans_P87_Serum		D0N3HACXX		169690.0	SL-HAQ	8	broadinstitute.org:bsp.prod.sample:2NC53			G17033	D0N3H.8		SM-2IFCQ	D0N3HACXX120305	120305_SL-HAQ_0190_AFCD0N3HACXX	SM-2NC53		P87	29004	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA75215	SAMN00991508	BI	sra	sra-sos	sra-sos.public		SRX129853	326	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-88118	2012-04-20	1832	887	Candida albicans P87	ILLUMINA	2012-04-20	SRR489758	SRS332128	SRP022200	PRJNA193498.Candida_albicans_P87_Serum		D0N2CACXX		169690.0	SL-HAW	6	broadinstitute.org:bsp.prod.sample:2NC53			G17033	D0N2C.6		SM-2IFCQ	D0N2CACXX120229	120229_SL-HAW_0168_AFCD0N2CACXX	SM-2NC53		P87	29004	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA75215	SAMN00991508	BI	sra	sra-sos	sra-sos.public		SRX129853	326	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-88118	2012-04-20	1858	900	Candida albicans P87	ILLUMINA	2012-04-20	SRR489775	SRS332128	SRP022200	PRJNA193498.Candida_albicans_P87_Serum		D0N2CACXX		169690.0	SL-HAW	7	broadinstitute.org:bsp.prod.sample:2NC53			G17033	D0N2C.7		SM-2IFCQ	D0N2CACXX120229	120229_SL-HAW_0168_AFCD0N2CACXX	SM-2NC53		P87	29004	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA75215	SAMN00991508	BI	sra	sra-sos	sra-sos.public		SRX129853	326	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-88118	2012-05-28	1855	896	Candida albicans P87	ILLUMINA	2012-05-27	SRR501086	SRS332128	SRP022200	PRJNA193498.Candida_albicans_P87_Serum		D0N2CACXX		169690.0	SL-HAW	8	broadinstitute.org:bsp.prod.sample:2NC53			G17033	D0N2C.8		SM-2IFCQ	D0N2CACXX120229	120229_SL-HAW_0168_AFCD0N2CACXX	SM-2NC53		P87	29004	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA75215	SAMN00991509	BI	sra	sra-sos	sra-sos.public		SRX131022	326	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-88096	2012-04-18	1610	767	Candida albicans P87	ILLUMINA	2012-03-22	SRR447614	SRS332129	SRP022200	PRJNA193498.Candida_albicans_P87_YPD		D0N3HACXX		169676.0	SL-HAQ	8	broadinstitute.org:bsp.prod.sample:2NC4O			G17019	D0N3H.8		SM-2IFCC	D0N3HACXX120305	120305_SL-HAQ_0190_AFCD0N3HACXX	SM-2NC4O		P87	29004	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA75215	SAMN00991509	BI	sra	sra-sos	sra-sos.public		SRX129856	326	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-88096	2012-04-20	1695	823	Candida albicans P87	ILLUMINA	2012-04-20	SRR489761	SRS332129	SRP022200	PRJNA193498.Candida_albicans_P87_YPD		D0N2CACXX		169676.0	SL-HAW	6	broadinstitute.org:bsp.prod.sample:2NC4O			G17019	D0N2C.6		SM-2IFCC	D0N2CACXX120229	120229_SL-HAW_0168_AFCD0N2CACXX	SM-2NC4O		P87	29004	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA75215	SAMN00991509	BI	sra	ncbi			SRX129856	326	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-88096	2012-05-28	1707	829	Candida albicans P87	ILLUMINA	2012-05-27	SRR501078	SRS332129	SRP022200	PRJNA193498.Candida_albicans_P87_YPD		D0N2CACXX		169676.0	SL-HAW	7	broadinstitute.org:bsp.prod.sample:2NC4O			G17019	D0N2C.7		SM-2IFCC	D0N2CACXX120229	120229_SL-HAW_0168_AFCD0N2CACXX	SM-2NC4O		P87	29004	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA75215	SAMN00991509	BI	sra	sra-sos	sra-sos.public		SRX129856	326	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-88096	2012-05-28	1709	827	Candida albicans P87	ILLUMINA	2012-05-27	SRR501095	SRS332129	SRP022200	PRJNA193498.Candida_albicans_P87_YPD		D0N2CACXX		169676.0	SL-HAW	8	broadinstitute.org:bsp.prod.sample:2NC4O			G17019	D0N2C.8		SM-2IFCC	D0N2CACXX120229	120229_SL-HAW_0168_AFCD0N2CACXX	SM-2NC4O		P87	29004	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA75235	SAMN00991512	BI	sra	ncbi			SRX131024	326	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-88097	2019-04-26	1678	817	Candida albicans P75010	ILLUMINA	2012-03-22	SRR447616	SRS332132	SRP022211	PRJNA193498.Candida_albicans_P75010_Spider		D0N3HACXX		169684.0	SL-HAQ	8	broadinstitute.org:bsp.prod.sample:2NC4W			G17027	D0N3H.8		SM-2IFCK	D0N3HACXX120305	120305_SL-HAQ_0190_AFCD0N3HACXX	SM-2NC4W		P75010	29004	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA75235	SAMN00991512	BI	sra	ncbi			SRX129859	326	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-88097	2019-04-26	1812	901	Candida albicans P75010	ILLUMINA	2012-04-20	SRR489770	SRS332132	SRP022211	PRJNA193498.Candida_albicans_P75010_Spider		D0N2CACXX		169684.0	SL-HAW	7	broadinstitute.org:bsp.prod.sample:2NC4W			G17027	D0N2C.7		SM-2IFCK	D0N2CACXX120229	120229_SL-HAW_0168_AFCD0N2CACXX	SM-2NC4W		P75010	29004	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA75235	SAMN00991512	BI	sra	sra-sos	sra-sos.public		SRX129859	326	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-88097	2012-04-20	1805	874	Candida albicans P75010	ILLUMINA	2012-04-20	SRR489788	SRS332132	SRP022211	PRJNA193498.Candida_albicans_P75010_Spider		D0N2CACXX		169684.0	SL-HAW	6	broadinstitute.org:bsp.prod.sample:2NC4W			G17027	D0N2C.6		SM-2IFCK	D0N2CACXX120229	120229_SL-HAW_0168_AFCD0N2CACXX	SM-2NC4W		P75010	29004	public	TRANSCRIPTOMIC
RNA-Seq	assembly	202	PRJNA75235	SAMN00991512	BI	sra	sra-sos	sra-sos.public		SRX129859	326	Illumina HiSeq 2000	PAIRED	cDNA	Solexa-88097	2012-05-28	1816	878	Candida albicans P75010	ILLUMINA	2012-05-27	SRR501076	SRS332132	SRP022211	PRJNA193498.Candida_albicans_P75010_Spider		D0N2CACXX		169684.0	SL-HAW	8	broadinstitute.org:bsp.prod.sample:2NC4W			G17027	D0N2C.8		SM-2IFCK	D0N2CACXX120229	120229_SL-HAW_0168_AFCD0N2CACXX	SM-2NC4W		P75010	29004	public	TRANSCRIPTOMIC
